,Akcje,C/WK,C/Z,Kapitalizacja na koniec miesiąca (mln),Kapitalizacja na koniec okresu (mln),Stopa,Unnamed: 5,Wartość,Wielkość,okres
59,57 DEBICA,"1,35","23,8",,"776 197 0,21","6,6",,"576,68","13,80",2006-08
60,58 APATOR,"5,68","21,2",,"741 188 0,20","2,0",,"130,42","35,29",2006-08
61,59 KOGENERA,"0,96","17,2",,"730 185 0,20","1,6",,"760,28","14,90",2006-08
62,60 ELSTAROIL,"7,38","64,9",,"697 177 0,19",---,,"94,43","4,82",2006-08
63,61 COMPLAND,"3,32",x,,"676 172 0,19","1,0",,"203,36","6,97",2006-08
64,62 PROVIMROL,"1,33","15,2",,"660 168 0,18",---,,"495,60","34,73",2006-08
65,63 DWORY,"1,40","1196,1",,"638 162 0,18",---,,"455,29","12,75",2006-08
66,64 ZELMER,"2,62","26,4",,"623 158 0,17","5,1",,"237,77","15,20",2006-08
67,65 DUDA,"2,63","18,5",,"619 157 0,17",---,,"235,29","48,20",2006-08
68,66 JELFA,"1,84",x,,"616 156 0,17",---,,"334,37","6,80",2006-08
69,67 NORDEABP,"1,13","18,1",,"608 155 0,17",---,,"540,36","33,62",2006-08
70,68 TOORA,"3,78","25,1",,"559 142 0,15",---,,"147,80","20,78",2006-08
71,69 POLICE,"0,52","18,7",,"555 141 0,15","4,6",,"1 073,38","75,00",2006-08
72,70 OPOCZNO,"2,05","86,4",,"548 139 0,15",---,,"267,58","16,45",2006-08
73,71 RAFAKO,"2,40","83,4",,"546 139 0,15",---,,"227,34","17,40",2006-08
74,72 SNIEZKA,"2,85","15,3",,"541 137 0,15","1,2",,"189,98","15,90",2006-08
75,73 TUEUROPA,"3,25","10,4",,"520 132 0,14",---,,"159,77","7,88",2006-08
76,74 PEKAES,"1,42",x,,"512 130 0,14",---,,"361,71","33,25",2006-08
77,75 ELEKTRIM,"0,41",x,,"511 130 0,14",---,,"1 252,44","83,77",2006-08
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2006-09
1,Shares,P/BV,P/E,Market capitalisation at the month-end (mil),,Dividend,,Book,Shares,2006-09
2,,,,PLN EUR %,,yield (%),,value (PLN mil),outstanding (mil),2006-09
3,1 PKOBP,"4,09","20,3","36 510 9 165 9,89",,"2,2",,"8 918,69","1 000,00",2006-09
4,2 PEKAO,"4,16","19,4","32 530 8 166 8,81",,"3,8",,"7 822,02","166,73",2006-09
5,3 TPSA,"1,58","10,6","27 860 6 994 7,55",,"5,0",,"17 631,00","1 400,00",2006-09
6,4 BANKBPH,"3,89","19,6","23 174 5 817 6,28",,"3,7",,"5 959,90","28,72",2006-09
7,5 PKNORLEN,"1,00","7,6","20 958 5 261 5,68",,"9,2",,"21 047,05","427,71",2006-09
8,6 KGHM,"3,80","6,6","20 140 5 056 5,46",,"9,9",,"5 297,65","200,00",2006-09
9,7 PGNIG,"0,91","17,2","18 644 4 680 5,05",,"4,7",,"20 545,64","5 900,00",2006-09
10,8 BZWBK,"4,20","19,6","14 045 3 526 3,80",,"3,1",,"3 347,98","72,96",2006-09
11,9 INGBSK,"2,58","13,8","8 782 2 205 2,38",,"4,1",,"3 409,50","13,01",2006-09
12,10 HANDLOWY,"1,75","13,7","8 754 2 198 2,37",,"5,4",,"4 997,28","130,66",2006-09
13,11 TVN,"13,06","30,5","7 248 1 820 1,96",,---,,"554,94","68,70",2006-09
14,12 BRE,"3,05","25,0","7 088 1 779 1,92",,---,,"2 324,44","29,41",2006-09
15,13 GTC,"2,47","8,5","6 541 1 642 1,77",,---,,"2 646,86","218,03",2006-09
16,14 GETIN,"5,12","50,4","6 169 1 549 1,67",,---,,"1 204,32","557,81",2006-09
17,15 BIOTON,"16,31","219,8","5 915 1 485 1,60",,---,,"362,55","2 640,41",2006-09
18,16 ZYWIEC,"5,38","16,5","5 444 1 367 1,47",,"6,2",,"1 012,60","11,34",2006-09
19,17 MILLENNIUM,"2,67","9,4","5 435 1 364 1,47",,"8,4",,"2 039,06","849,18",2006-09
20,18 LOTOS,"1,01","5,5","5 264 1 322 1,43",,---,,"5 219,75","113,70",2006-09
21,19 KREDYTB,"2,22","8,8","4 205 1 056 1,14",,"1,4",,"1 892,01","271,66",2006-09
22,20 CERSANIT,"6,12","25,8","4 121 1 035 1,12",,---,,"672,91","132,95",2006-09
23,21 SWIECIE,"4,78","25,4","4 000 1 004 1,08",,"6,1",,"837,31","50,00",2006-09
24,22 ECHO,"2,79","13,3","2 877 722 0,78",,---,,"1 031,29","42,00",2006-09
25,23 STALPROD,"6,40","15,6","2 680 673 0,73",,"1,3",,"418,56","6,73",2006-09
26,24 ALCHEMIA,"13,88","70,6","2 458 617 0,67",,---,,"177,06","56,25",2006-09
27,25 PBG,"6,86","92,5","2 286 574 0,62",,---,,"332,97","12,03",2006-09
28,26 GRAJEWO,"3,04","19,9","2 283 573 0,62",,"2,8",,"750,84","49,62",2006-09
29,27 ORBIS,"1,28","21,1","2 130 535 0,58",,"0,7",,"1 661,79","46,08",2006-09
30,28 POLIMEXMS,"5,19","34,5","2 066 519 0,56",,"0,3",,"398,45","15,25",2006-09
31,29 BUDIMEX,"3,67","438,8","1 940 487 0,53",,---,,"528,17","25,53",2006-09
32,30 NETIA,"0,79",x,"1 821 457 0,49",,"2,8",,"2 306,10","389,17",2006-09
33,31 PROKOM,"1,61","13,8","1 813 455 0,49",,"1,1",,"1 127,77","13,89",2006-09
34,32 CCC,"11,16","33,1","1 766 443 0,48",,"2,2",,"158,25","38,40",2006-09
35,33 BORYSZEW,"1,71","8,8","1 736 436 0,47",,---,,"1 012,72","62,69",2006-09
36,34 AGORA,"1,49","39,2","1 683 422 0,46",,"1,6",,"1 128,21","56,76",2006-09
37,35 KETY,"2,72","19,3","1 679 422 0,45",,"2,2",,"616,81","9,23",2006-09
38,36 FAMUR,"5,93","17,8","1 663 417 0,45",,---,,"280,52","4,50",2006-09
39,37 FORTISPL,"2,21","14,8","1 643 413 0,45",,---,,"744,84","15,08",2006-09
40,38 CIECH,"1,37","10,3","1 487 373 0,40",,"1,5",,"1 087,76","28,00",2006-09
41,39 IMPEXMET,"1,56","12,9","1 392 349 0,38",,---,,"893,49","8,54",2006-09
42,40 KOELNER,"6,72","38,4","1 335 335 0,36",,---,,"198,75","30,34",2006-09
43,41 GRUPAONET,"6,21","110,9","1 295 325 0,35",,---,,"208,70","8,05",2006-09
44,42 BARLINEK,"5,79","44,9","1 295 325 0,35",,---,,"223,64","96,78",2006-09
45,43 LPP,"5,34","74,4","1 196 300 0,32",,---,,"223,93","1,70",2006-09
46,44 NFIEMF,"2,18","106,6","1 195 300 0,32",,---,,"548,05","102,15",2006-09
47,45 COMARCH,"5,17","28,3","1 165 293 0,32",,---,,"225,39","7,52",2006-09
48,46 BOS,"1,80","22,9","1 163 292 0,31",,---,,"645,37","13,20",2006-09
49,47 PULAWY,"0,91","8,5","1 070 269 0,29",,"2,9",,"1 173,73","19,12",2006-09
50,48 EUROCASH,"6,30","33,4","1 054 265 0,29",,"1,9",,"167,35","127,74",2006-09
51,49 SOFTBANK,"3,52","24,2","1 007 253 0,27",,"1,6",,"285,90","25,17",2006-09
52,50 DZPOLSKA,"4,57","80,8","1 005 252 0,27",,---,,"220,00","41,00",2006-09
53,51 POLMOSBIA,"5,42","14,0","980 246 0,27",,---,,"180,96","11,90",2006-09
54,52 FARMACOL,"2,15","15,9","964 242 0,26",,---,,"448,13","23,40",2006-09
55,53 09KWIAT,"12,90","20,0","938 235 0,25",,---,,"72,70","59,19",2006-09
56,54 ASSECOPOL,"6,36","31,0","932 234 0,25",,"0,8",,"146,47","3,85",2006-09
57,55 DEBICA,"1,60","28,3","925 232 0,25",,"5,5",,"576,68","13,80",2006-09
58,56 APATOR,"6,89","25,4","900 226 0,24",,"1,7",,"130,54","35,29",2006-09
59,57 KOGENERA,"1,18","21,0","894 224 0,24",,"1,3",,"760,28","14,90",2006-09
60,58 PGF,"3,40","15,2","873 219 0,24",,"3,4",,"256,69","12,44",2006-09
61,59 HUTMEN,"3,08","44,8","860 216 0,23",,---,,"279,59","8,53",2006-09
62,60 COMPLAND,"4,00",x,"813 204 0,22",,"0,9",,"203,36","7,97",2006-09
63,61 DWORY,"1,69","941,2","776 195 0,21",,---,,"459,61","12,75",2006-09
64,62 NORDEABP,"1,39","22,4","753 189 0,20",,---,,"540,36","33,62",2006-09
65,63 KRUSZWICA,"4,80","18,9","732 184 0,20",,"8,2",,"152,44","12,94",2006-09
66,64 PROVIMROL,"1,43","16,2","706 177 0,19",,---,,"495,60","34,73",2006-09
67,65 ELSTAROIL,"7,40","65,1","699 175 0,19",,---,,"94,43","4,82",2006-09
68,66 OPOCZNO,"2,55","107,7","683 171 0,18",,---,,"267,58","16,45",2006-09
69,67 ZELMER,"2,86","28,9","681 171 0,18",,"4,7",,"237,77","15,20",2006-09
70,68 DUDA,"2,87","20,2","675 169 0,18",,---,,"235,29","48,20",2006-09
71,69 RAFAKO,"2,95","102,2","670 168 0,18",,---,,"227,34","17,40",2006-09
72,70 JELFA,"1,84",x,"616 155 0,17",,---,,"334,37","6,80",2006-09
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2006-10
1,Shares,P/BV,P/E,Market capitalisation at the month-end (mil),,Dividend,,Book,Shares,2006-10
2,,,,PLN EUR %,,yield (%),,value (PLN mil),outstanding (mil),2006-10
3,1 PKOBP,"3,99","19,8","38 250 9 840 9,56",,"2,1",,"9 579,14","1 000,00",2006-10
4,2 PEKAO,"4,36","20,4","34 097 8 772 8,52",,"3,6",,"7 822,02","166,73",2006-10
5,3 TPSA,"1,70","13,8","31 220 8 032 7,80",,"4,5",,"18 328,00","1 400,00",2006-10
6,4 BANKBPH,"4,08","20,8","24 926 6 412 6,23",,"3,5",,"6 104,46","28,72",2006-10
7,5 KGHM,"4,13","7,2","21 900 5 634 5,47",,"9,1",,"5 297,65","200,00",2006-10
8,6 PKNORLEN,"0,98","7,5","20 530 5 282 5,13",,"9,4",,"21 047,05","427,71",2006-10
9,7 PGNIG,"0,89","16,9","18 349 4 720 4,59",,"4,8",,"20 545,64","5 900,00",2006-10
10,8 BZWBK,"4,50","21,0","15 066 3 876 3,77",,"2,9",,"3 347,98","72,96",2006-10
11,9 HANDLOWY,"2,00","15,6","9 995 2 571 2,50",,"4,7",,"4 997,32","130,66",2006-10
12,10 INGBSK,"2,84","15,2","9 673 2 488 2,42",,"3,7",,"3 409,50","13,01",2006-10
13,11 BRE,"3,44","24,2","8 543 2 198 2,14",,---,,"2 486,98","29,46",2006-10
14,12 TVN,"14,24","33,3","7 901 2 033 1,98",,---,,"554,94","68,70",2006-10
15,13 BIOTON,"21,52","289,2","7 736 1 990 1,93",,---,,"359,44","2 640,41",2006-10
16,14 GTC,"2,75","9,5","7 282 1 873 1,82",,---,,"2 646,86","218,03",2006-10
17,15 MILLENNIUM,"2,89","10,2","5 885 1 514 1,47",,"7,8",,"2 039,06","849,18",2006-10
18,16 GETIN,"4,85","47,7","5 846 1 504 1,46",,---,,"1 204,32","557,81",2006-10
19,17 ZYWIEC,"5,32","16,4","5 389 1 386 1,35",,"6,3",,"1 012,60","11,34",2006-10
20,18 CERSANIT,"7,94","33,4","5 344 1 375 1,34",,---,,"672,91","132,95",2006-10
21,19 LOTOS,"0,98","5,3","5 129 1 319 1,28",,---,,"5 221,62","113,70",2006-10
22,20 KREDYTB,"2,32","9,7","4 618 1 188 1,15",,"1,3",,"1 991,90","271,66",2006-10
23,21 SWIECIE,"5,08","80,7","4 605 1 185 1,15",,"5,3",,"906,85","50,00",2006-10
24,22 ECHO,"3,23","15,2","3 295 848 0,82",,---,,"1 019,29","42,00",2006-10
25,23 ALCHEMIA,"17,88","90,9","3 167 815 0,79",,---,,"177,06","56,25",2006-10
26,24 STALPROD,"7,29","17,7","3 053 785 0,76",,"1,1",,"418,56","6,73",2006-10
27,25 PBG,"8,42","113,1","2 791 718 0,70",,---,,"331,53","12,03",2006-10
28,26 GRAJEWO,"3,44","22,5","2 580 664 0,65",,"2,5",,"750,84","49,62",2006-10
29,27 DOMDEV,"13,34","26,0","2 561 659 0,64",,---,,"191,94","21,34",2006-10
30,28 ORBIS,"1,41","23,3","2 350 605 0,59",,"0,7",,"1 661,79","46,08",2006-10
31,29 POLIMEXMS,"5,65","39,6","2 330 599 0,58",,"0,3",,"412,08","15,25",2006-10
32,30 FORTISPL,"2,73","18,3","2 035 524 0,51",,---,,"744,84","15,08",2006-10
33,31 NETIA,"0,88",x,"2 024 521 0,51",,"2,5",,"2 306,10","389,17",2006-10
34,32 BUDIMEX,"3,54","546,2","1 866 480 0,47",,---,,"527,29","25,53",2006-10
35,33 KETY,"2,81","21,5","1 814 467 0,45",,"2,0",,"644,86","9,23",2006-10
36,34 BORYSZEW,"1,77","9,0","1 799 463 0,45",,---,,"1 016,32","62,69",2006-10
37,35 FAMUR,"6,04","18,5","1 728 445 0,43",,---,,"286,17","4,50",2006-10
38,36 KOELNER,"8,56","48,0","1 723 443 0,43",,---,,"201,22","30,34",2006-10
39,37 CCC,"10,84","32,0","1 716 442 0,43",,"2,2",,"158,38","38,40",2006-10
40,38 PROKOM,"1,48","12,7","1 667 429 0,42",,"1,3",,"1 127,77","13,89",2006-10
41,39 AGORA,"1,44","37,7","1 620 417 0,41",,"1,7",,"1 128,21","56,76",2006-10
42,40 CIECH,"1,46","11,2","1 596 411 0,40",,"1,4",,"1 090,02","28,00",2006-10
43,41 IMPEXMET,"1,63","13,1","1 460 376 0,37",,---,,"896,74","8,54",2006-10
44,42 COMARCH,"6,42","34,7","1 448 373 0,36",,---,,"225,39","7,52",2006-10
45,43 BARLINEK,"6,28","48,6","1 403 361 0,35",,---,,"223,63","96,78",2006-10
46,44 LPP,"6,22","86,6","1 393 358 0,35",,---,,"223,93","1,70",2006-10
47,45 NFIEMF,"2,55",x,"1 359 350 0,34",,---,,"532,65","102,15",2006-10
48,46 GRUPAONET,"6,21","110,9","1 295 333 0,32",,---,,"208,70","8,05",2006-10
49,47 BOS,"1,82","23,2","1 175 302 0,29",,---,,"645,37","13,20",2006-10
50,48 PULAWY,"0,96","9,0","1 131 291 0,28",,"2,7",,"1 173,73","19,12",2006-10
51,49 09KWIAT,"15,31","23,8","1 109 285 0,28",,---,,"72,46","59,19",2006-10
52,50 EUROCASH,"6,49","34,4","1 086 279 0,27",,"1,9",,"167,35","127,74",2006-10
53,51 SOFTBANK,"3,59","24,7","1 027 264 0,26",,"1,6",,"285,90","25,17",2006-10
54,52 DZPOLSKA,"4,62","81,8","1 017 262 0,25",,---,,"220,00","41,00",2006-10
55,53 FARMACOL,"2,25","16,6","1 008 259 0,25",,---,,"448,13","23,40",2006-10
56,54 POLMOSBIA,"5,57","14,4","1 007 259 0,25",,---,,"180,96","11,90",2006-10
57,55 DEBICA,"1,64","25,0","973 250 0,24",,"5,2",,"593,78","13,80",2006-10
58,56 ASSECOPOL,"6,57","32,0","963 248 0,24",,"0,7",,"146,47","3,85",2006-10
59,57 PGF,"3,64","16,3","935 240 0,23",,"3,2",,"256,69","12,44",2006-10
60,58 APATOR,"7,00","25,8","914 235 0,23",,"1,6",,"130,54","35,29",2006-10
61,59 HUTMEN,"3,20","46,7","896 230 0,22",,---,,"279,59","8,53",2006-10
62,60 KOGENERA,"1,16","20,8","884 228 0,22",,"1,3",,"760,28","14,90",2006-10
63,61 DWORY,"1,82","1013,8","836 215 0,21",,---,,"459,61","12,75",2006-10
64,62 COMPLAND,"3,91",x,"796 205 0,20",,"0,9",,"203,84","7,97",2006-10
65,63 KRUSZWICA,"5,14","20,2","783 202 0,20",,"7,7",,"152,44","12,94",2006-10
66,64 DUDA,"3,30","23,3","777 200 0,19",,---,,"235,29","48,20",2006-10
67,65 BAUMA,"8,39","27,0","758 195 0,19",,---,,"90,37","4,89",2006-10
68,66 NORDEABP,"1,37","22,1","740 190 0,19",,---,,"540,36","33,62",2006-10
69,67 OPOCZNO,"2,73","115,3","731 188 0,18",,---,,"267,58","16,45",2006-10
70,68 RAFAKO,"3,14","108,8","713 184 0,18",,---,,"227,34","17,40",2006-10
71,69 ELSTAROIL,"7,45","65,6","704 181 0,18",,---,,"94,43","4,82",2006-10
72,70 PROVIMROL,"1,38","15,8","686 176 0,17",,---,,"495,60","34,73",2006-10
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2006-11
1,Shares,P/BV,P/E,Market capitalisation at the month-end (mil),,Dividend,,Book,Shares,2006-11
2,,,,PLN EUR %,,yield (%),,value (PLN mil),outstanding (mil),2006-11
3,1 PKOBP,"4,47","22,2","42 840 11 225 9,97",,"1,9",,"9 579,14","1 000,00",2006-11
4,2 PEKAO,"4,22","20,4","35 264 9 240 8,21",,"3,5",,"8 365,51","166,73",2006-11
5,3 TPSA,"1,71","13,8","31 346 8 213 7,29",,"4,5",,"18 328,00","1 400,00",2006-11
6,4 BANKBPH,"3,92","20,4","25 557 6 696 5,95",,"3,4",,"6 527,72","28,72",2006-11
7,5 PKNORLEN,"1,01","8,0","22 155 5 805 5,16",,"8,7",,"22 030,34","427,71",2006-11
8,6 KGHM,"3,00","6,1","20 320 5 324 4,73",,"9,8",,"6 772,28","200,00",2006-11
9,7 PGNIG,"0,92","16,7","19 116 5 009 4,45",,"4,6",,"20 687,63","5 900,00",2006-11
10,8 BZWBK,"4,41","20,4","15 723 4 120 3,66",,"2,8",,"3 561,30","72,96",2006-11
11,9 HANDLOWY,"2,01","17,3","10 446 2 737 2,43",,"4,5",,"5 199,44","130,66",2006-11
12,10 INGBSK,"2,68","15,1","9 627 2 523 2,24",,"3,7",,"3 593,43","13,01",2006-11
13,11 BRE,"3,78","26,6","9 392 2 461 2,19",,---,,"2 486,98","29,46",2006-11
14,12 GTC,"3,07","9,6","8 913 2 335 2,07",,---,,"2 907,00","218,03",2006-11
15,13 TVN,"7,76","42,6","8 457 2 216 1,97",,---,,"1 090,45","68,70",2006-11
16,14 GETIN,"6,13","49,4","7 824 2 050 1,82",,---,,"1 276,02","643,93",2006-11
17,15 BIOTON,"9,58","126,6","7 499 1 965 1,75",,---,,"782,62","2 640,41",2006-11
18,16 MILLENNIUM,"3,11","11,2","6 581 1 724 1,53",,"7,0",,"2 117,94","849,18",2006-11
19,17 KREDYTB,"3,00","12,5","5 977 1 566 1,39",,"1,0",,"1 991,90","271,66",2006-11
20,18 CERSANIT,"7,61","33,2","5 489 1 438 1,28",,---,,"721,59","132,95",2006-11
21,19 ZYWIEC,"4,51","14,8","5 357 1 404 1,25",,"6,3",,"1 188,29","11,34",2006-11
22,20 LOTOS,"0,96","6,7","5 225 1 369 1,22",,---,,"5 435,11","113,70",2006-11
23,21 SWIECIE,"5,66","89,9","5 130 1 344 1,19",,"4,8",,"906,85","50,00",2006-11
24,22 STALPROD,"7,85","16,8","3 968 1 040 0,92",,"0,8",,"505,29","6,73",2006-11
25,23 ECHO,"3,22","13,5","3 725 976 0,87",,---,,"1 156,66","42,00",2006-11
26,24 DOMDEV,"14,70","26,4","3 302 865 0,77",,---,,"224,58","24,05",2006-11
27,25 ALCHEMIA,"14,96","56,2","3 231 847 0,75",,---,,"216,06","56,25",2006-11
28,26 PBG,"8,99","122,2","3 200 838 0,74",,---,,"355,78","12,03",2006-11
29,27 GRAJEWO,"3,55","23,7","2 779 728 0,65",,"2,3",,"783,20","49,62",2006-11
30,28 ORBIS,"1,49","23,9","2 548 668 0,59",,"0,6",,"1 708,95","46,08",2006-11
31,29 MIDAS,"27,94","41,4","2 486 651 0,58",,---,,"88,98","59,19",2006-11
32,30 POLIMEXMS,"5,25","34,0","2 287 599 0,53",,"0,3",,"435,62","15,25",2006-11
33,31 NETIA,"0,82",x,"1 915 502 0,45",,"2,6",,"2 323,99","389,17",2006-11
34,32 CCC,"11,42","35,3","1 912 501 0,45",,"2,0",,"167,45","38,40",2006-11
35,33 AGORA,"1,64","74,8","1 869 490 0,43",,"1,5",,"1 139,41","54,98",2006-11
36,34 BUDIMEX,"3,46","534,2","1 825 478 0,42",,---,,"527,29","25,53",2006-11
37,35 FORTISPL,"2,36","16,4","1 824 478 0,42",,---,,"773,72","15,08",2006-11
38,36 KOELNER,"8,33","47,1","1 801 472 0,42",,---,,"216,26","30,52",2006-11
39,37 PROKOM,"1,52","12,6","1 796 471 0,42",,"1,2",,"1 181,55","13,89",2006-11
40,38 CIECH,"1,57","12,1","1 764 462 0,41",,"1,3",,"1 125,44","28,00",2006-11
41,39 KETY,"2,73","20,9","1 762 462 0,41",,"2,1",,"644,86","9,23",2006-11
42,40 FAMUR,"3,74","16,9","1 686 442 0,39",,---,,"450,99","4,50",2006-11
43,41 MMPPL,"6,69","35,7","1 666 437 0,39",,---,,"249,20","136,91",2006-11
44,42 BORYSZEW,"1,57","7,1","1 658 434 0,39",,---,,"1 057,97","62,69",2006-11
45,43 IMPEXMET,"1,73","11,7","1 606 421 0,37",,---,,"929,71","8,54",2006-11
46,44 BARLINEK,"4,70","44,2","1 577 413 0,37",,---,,"335,58","96,78",2006-11
47,45 COMARCH,"6,65","36,0","1 549 406 0,36",,---,,"232,98","7,52",2006-11
48,46 NFIEMF,"5,34","33,3","1 461 383 0,34",,---,,"273,47","102,15",2006-11
49,47 HTLSTREFA,"32,75","95,8","1 419 372 0,33",,---,,"43,33","11,00",2006-11
50,48 DUDA,"5,42","32,4","1 397 366 0,33",,---,,"257,68","48,20",2006-11
51,49 LPP,"6,11","107,9","1 395 366 0,32",,---,,"228,16","1,70",2006-11
52,50 SOFTBANK,"3,92","21,1","1 241 325 0,29",,"1,3",,"316,26","25,17",2006-11
53,51 DZPOLSKA,"5,31","122,0","1 189 312 0,28",,---,,"223,95","41,00",2006-11
54,52 BOS,"1,76","20,6","1 181 309 0,27",,---,,"671,16","13,20",2006-11
55,53 ASSECOPOL,"4,57","20,2","1 151 302 0,27",,"0,6",,"251,90","3,85",2006-11
56,54 POLMOSBIA,"5,64","14,9","1 142 299 0,27",,---,,"202,51","11,90",2006-11
57,55 PULAWY,"0,93","8,9","1 107 290 0,26",,"3,5",,"1 188,78","19,12",2006-11
58,56 DWORY,"2,25","162,4","1 084 284 0,25",,---,,"481,55","12,75",2006-11
59,57 PGF,"3,93","17,9","1 051 275 0,24",,"2,8",,"267,76","12,44",2006-11
60,58 EUROCASH,"5,68","31,7","1 022 268 0,24",,"2,0",,"179,94","127,74",2006-11
61,59 FARMACOL,"2,14","15,9","993 260 0,23",,---,,"464,16","23,40",2006-11
62,60 HUTMEN,"3,35","27,0","950 249 0,22",,---,,"283,98","8,53",2006-11
63,61 ZELMER,"3,72","31,2","912 239 0,21",,"3,5",,"245,33","15,20",2006-11
64,62 KOGENERA,"1,25","19,7","909 238 0,21",,"1,3",,"728,73","14,90",2006-11
65,63 KRUSZWICA,"5,51","18,2","907 238 0,21",,"6,6",,"164,45","12,94",2006-11
66,64 DEBICA,"1,53","23,3","907 238 0,21",,"5,6",,"593,78","13,80",2006-11
67,65 APATOR,"6,32","25,6","882 231 0,21",,"1,7",,"139,58","35,29",2006-11
68,66 BAUMA,"9,52","30,6","861 226 0,20",,---,,"90,37","4,89",2006-11
69,67 ELSTAROIL,"5,48","77,7","830 217 0,19",,---,,"151,51","48,21",2006-11
70,68 POLNORD,x,x,"814 213 0,19",,---,,"-18,77","8,66",2006-11
71,69 PROVIMROL,"1,57","17,9","797 209 0,19",,---,,"506,74","34,73",2006-11
72,70 NORDEABP,"1,43","18,8","793 208 0,18",,---,,"553,02","33,62",2006-11
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2006-12
1,Shares,P/BV,P/E,Market capitalisation at the month-end (mil),,Dividend,,Book,Shares,2006-12
2,,,,PLN EUR %,,yield (%),,value (PLN mil),outstanding (mil),2006-12
3,1 PKOBP,"4,91","24,4","47 000 12 268 10,74",,"1,7",,"9 579,14","1 000,00",2006-12
4,2 PEKAO,"4,52","21,9","37 832 9 875 8,64",,"3,3",,"8 365,51","166,73",2006-12
5,3 TPSA,"1,88","15,2","34 370 8 971 7,85",,"4,1",,"18 328,00","1 400,00",2006-12
6,4 BANKBPH,"4,08","21,3","26 606 6 944 6,08",,"3,2",,"6 527,72","28,72",2006-12
7,5 PGNIG,"1,03","18,6","21 240 5 544 4,85",,"4,2",,"20 687,63","5 900,00",2006-12
8,6 PKNORLEN,"0,93","7,3","20 402 5 325 4,66",,"9,4",,"22 030,34","427,71",2006-12
9,7 KGHM,"2,63","5,3","17 800 4 646 4,07",,"11,2",,"6 772,28","200,00",2006-12
10,8 BZWBK,"4,61","21,3","16 416 4 285 3,75",,"2,7",,"3 561,30","72,96",2006-12
11,9 HANDLOWY,"2,18","18,8","11 341 2 960 2,59",,"4,1",,"5 199,44","130,66",2006-12
12,10 INGBSK,"2,78","15,7","9 992 2 608 2,28",,"3,6",,"3 593,43","13,01",2006-12
13,11 BRE,"3,98","28,0","9 898 2 584 2,26",,---,,"2 486,98","29,46",2006-12
14,12 GTC,"3,02","9,4","8 765 2 288 2,00",,---,,"2 907,00","218,03",2006-12
15,13 TVN,"7,84","43,1","8 553 2 233 1,95",,---,,"1 090,45","343,51",2006-12
16,14 GETIN,"6,38","51,4","8 146 2 126 1,86",,---,,"1 276,02","643,93",2006-12
17,15 MILLENNIUM,"3,19","11,5","6 751 1 762 1,54",,"6,8",,"2 117,94","849,18",2006-12
18,16 BIOTON,"7,35","97,2","5 756 1 502 1,32",,---,,"782,62","2 640,41",2006-12
19,17 LOTOS,"1,03","7,2","5 605 1 463 1,28",,---,,"5 435,11","113,70",2006-12
20,18 ZYWIEC,"4,67","15,4","5 554 1 450 1,27",,"6,1",,"1 188,29","11,34",2006-12
21,19 KREDYTB,"2,74","11,4","5 458 1 425 1,25",,"1,1",,"1 991,90","271,66",2006-12
22,20 SWIECIE,"5,73","91,2","5 200 1 357 1,19",,"4,7",,"906,85","50,00",2006-12
23,21 CERSANIT,"6,74","29,4","4 866 1 270 1,11",,---,,"721,59","132,95",2006-12
24,22 ALCHEMIA,"17,43","65,5","3 766 983 0,86",,---,,"216,06","56,25",2006-12
25,23 ECHO,"3,21","13,5","3 717 970 0,85",,---,,"1 156,66","42,00",2006-12
26,24 STALPROD,"7,19","15,4","3 632 948 0,83",,"0,9",,"505,29","6,73",2006-12
27,25 DOMDEV,"16,06","28,8","3 608 942 0,82",,---,,"224,58","24,05",2006-12
28,26 PBG,"8,69","118,0","3 091 807 0,71",,---,,"355,78","12,03",2006-12
29,27 ORBIS,"1,70","27,2","2 907 759 0,66",,"0,5",,"1 708,95","46,08",2006-12
30,28 GRAJEWO,"3,55","23,7","2 779 725 0,63",,"2,3",,"783,20","49,62",2006-12
31,29 POLIMEXMS,"5,32","34,4","2 318 605 0,53",,"0,3",,"435,62","15,25",2006-12
32,30 AGORA,"1,76","80,3","2 007 524 0,46",,"1,4",,"1 139,41","54,98",2006-12
33,31 NETIA,"0,85",x,"1 965 513 0,45",,"2,6",,"2 323,99","389,17",2006-12
34,32 MMPPL,"7,76","41,5","1 935 505 0,44",,---,,"249,20","157,70",2006-12
35,33 CCC,"11,47","35,5","1 920 501 0,44",,"2,0",,"167,45","38,40",2006-12
36,34 MIDAS,"21,55","32,0","1 918 501 0,44",,---,,"88,98","59,19",2006-12
37,35 BUDIMEX,"3,63","560,4","1 915 500 0,44",,---,,"527,29","25,53",2006-12
38,36 PROKOM,"1,60","13,3","1 895 495 0,43",,"1,1",,"1 181,55","13,89",2006-12
39,37 KETY,"2,86","21,9","1 845 482 0,42",,"2,0",,"644,86","9,23",2006-12
40,38 FAMUR,"4,01","18,1","1 810 473 0,41",,---,,"450,99","4,50",2006-12
41,39 CIECH,"1,60","12,4","1 803 471 0,41",,"1,2",,"1 125,44","28,00",2006-12
