,nazwa,okres,mln_EUR
637,BRE,2008-11,1652
638,HANDLOWY,2008-11,1577
639,KGHM,2008-11,1538
640,INGBSK,2008-11,1451
641,ZYWIEC,2008-11,1350
642,TVN,2008-11,1238
643,ASSECOPOL,2008-11,991
644,GETIN,2008-11,935
645,GTC,2008-11,933
646,CYFRPLSAT,2008-11,928
647,KREDYTB,2008-11,772
648,PBG,2008-11,743
649,MILLENNIUM,2008-11,723
650,FORTISPL,2008-11,670
651,STALPROD,2008-11,581
652,CERSANIT,2008-11,522
653,SWIECIE,2008-11,487
654,DZPOLSKA,2008-11,480
655,LPP,2008-11,470
656,CCC,2008-11,419
657,ORBIS,2008-11,418
658,BUDIMEX,2008-11,414
659,ALCHEMIA,2008-11,390
660,POLIMEXMS,2008-11,388
661,LOTOS,2008-11,374
662,EUROCASH,2008-11,361
663,HBPOLSKA,2008-11,360
664,BOS,2008-11,339
665,PULAWY,2008-11,284
666,NFIEMF,2008-11,280
667,MMPPL,2008-11,278
668,HOOP,2008-11,276
669,NETIA,2008-11,257
670,TUEUROPA,2008-11,254
671,KRUSZWICA,2008-11,250
672,ECHO,2008-11,246
673,MOSTALWAR,2008-11,246
674,AGORA,2008-11,242
675,BANKBPH,2008-11,241
676,FAMUR,2008-11,240
677,NOBLEBANK,2008-11,227
678,NORDEABP,2008-11,218
679,EMPERIA,2008-11,213
680,SYNTHOS,2008-11,211
681,MENNICA,2008-11,208
682,ELBUDOWA,2008-11,207
683,CIECH,2008-11,197
684,TRAKCJA,2008-11,189
685,BIOTON,2008-11,187
686,KOGENERA,2008-11,186
687,KETY,2008-11,176
688,FARMACOL,2008-11,159
695,PKOBP,2008-12,8508
696,PEKAO,2008-12,7931
697,TPSA,2008-12,6299
698,PGNIG,2008-12,5091
699,PKNORLEN,2008-12,2638
700,BZWBK,2008-12,1937
701,HANDLOWY,2008-12,1503
702,BRE,2008-12,1398
703,KGHM,2008-12,1348
704,INGBSK,2008-12,1341
705,ZYWIEC,2008-12,1172
706,TVN,2008-12,1130
707,ASSECOPOL,2008-12,881
708,CYFRPLSAT,2008-12,868
709,GETIN,2008-12,847
710,GTC,2008-12,798
711,DZPOLSKA,2008-12,764
712,KREDYTB,2008-12,738
713,PBG,2008-12,631
714,MILLENNIUM,2008-12,586
715,FORTISPL,2008-12,566
716,CERSANIT,2008-12,476
717,STALPROD,2008-12,476
718,SWIECIE,2008-12,476
719,LPP,2008-12,466
720,ALCHEMIA,2008-12,431
721,ORBIS,2008-12,359
722,POLIMEXMS,2008-12,339
723,CCC,2008-12,336
724,LOTOS,2008-12,326
725,EUROCASH,2008-12,313
726,BUDIMEX,2008-12,313
727,HBPOLSKA,2008-12,312
728,BOS,2008-12,280
729,HOOP,2008-12,269
730,MMPPL,2008-12,257
731,TUEUROPA,2008-12,256
732,PULAWY,2008-12,244
733,BANKBPH,2008-12,242
734,NFIEMF,2008-12,242
735,KRUSZWICA,2008-12,237
736,MOSTALWAR,2008-12,236
737,NETIA,2008-12,224
738,ECHO,2008-12,216
739,AGORA,2008-12,213
740,NORDEABP,2008-12,203
741,MENNICA,2008-12,188
742,EMPERIA,2008-12,186
743,KOGENERA,2008-12,186
744,ELBUDOWA,2008-12,178
745,KOPEX,2008-12,167
746,NOBLEBANK,2008-12,165
747,FARMACOL,2008-12,159
748,CIECH,2008-12,158
749,TRAKCJA,2008-12,155
750,BIOTON,2008-12,147
751,SYNTHOS,2008-12,140
752,KETY,2008-12,133
759,PEKAO,2009-01,6438
760,PKOBP,2009-01,6262
761,TPSA,2009-01,6090
762,PGNIG,2009-01,5050
763,PKNORLEN,2009-01,2158
764,BZWBK,2009-01,1446
765,KGHM,2009-01,1356
766,ZYWIEC,2009-01,1222
767,ENEA,2009-01,1122
768,HANDLOWY,2009-01,1029
769,TVN,2009-01,935
770,BRE,2009-01,916
771,CYFRPLSAT,2009-01,884
772,FORTISPL,2009-01,827
773,ASSECOPOL,2009-01,821
774,INGBSK,2009-01,800
775,DZPOLSKA,2009-01,718
776,GTC,2009-01,652
777,PBG,2009-01,617
778,GETIN,2009-01,593
779,SWIECIE,2009-01,443
780,LPP,2009-01,425
781,MILLENNIUM,2009-01,402
782,STALPROD,2009-01,389
783,ALCHEMIA,2009-01,379
784,KREDYTB,2009-01,376
785,CCC,2009-01,329
786,BUDIMEX,2009-01,319
787,CERSANIT,2009-01,296
788,HBPOLSKA,2009-01,270
789,ORBIS,2009-01,258
790,POLIMEXMS,2009-01,258
791,MMPPL,2009-01,254
792,EUROCASH,2009-01,253
793,BOS,2009-01,250
794,KOFOLA,2009-01,242
795,TUEUROPA,2009-01,239
796,NETIA,2009-01,227
797,BANKBPH,2009-01,226
798,KRUSZWICA,2009-01,226
799,MOSTALWAR,2009-01,216
800,NFIEMF,2009-01,209
801,NORDEABP,2009-01,206
802,LOTOS,2009-01,200
803,EMPERIA,2009-01,187
804,KOGENERA,2009-01,186
805,ECHO,2009-01,184
806,MENNICA,2009-01,176
807,PULAWY,2009-01,174
808,AGORA,2009-01,166
809,KOPEX,2009-01,153
810,CIECH,2009-01,151
811,ELBUDOWA,2009-01,150
812,AMREST,2009-01,148
813,HTLSTREFA,2009-01,141
814,DOMDEV,2009-01,140
815,BIOTON,2009-01,138
816,TRAKCJA,2009-01,135
817,FARMACOL,2009-01,131
818,KETY,2009-01,125
825,TPSA,2009-02,5201
826,PGNIG,2009-02,4370
827,PEKAO,2009-02,4363
828,PKOBP,2009-02,4120
829,PKNORLEN,2009-02,1892
830,KGHM,2009-02,1466
831,ENEA,2009-02,1393
832,ZYWIEC,2009-02,1277
833,BZWBK,2009-02,1104
834,HANDLOWY,2009-02,954
835,CYFRPLSAT,2009-02,778
836,FORTISPL,2009-02,764
837,ASSECOPOL,2009-02,749
838,DZPOLSKA,2009-02,685
839,TVN,2009-02,680
840,GTC,2009-02,625
841,BRE,2009-02,606
842,PBG,2009-02,600
843,INGBSK,2009-02,559
844,STALPROD,2009-02,475
845,SWIECIE,2009-02,451
846,GETIN,2009-02,440
847,LPP,2009-02,413
848,ALCHEMIA,2009-02,321
849,BUDIMEX,2009-02,296
850,KREDYTB,2009-02,292
851,CCC,2009-02,289
852,CERSANIT,2009-02,288
853,POLIMEXMS,2009-02,267
854,LOTOS,2009-02,262
855,ORBIS,2009-02,252
856,MILLENNIUM,2009-02,252
857,BOS,2009-02,236
858,NETIA,2009-02,236
859,TUEUROPA,2009-02,233
860,KOFOLA,2009-02,233
861,NORDEABP,2009-02,230
862,EUROCASH,2009-02,227
863,HBPOLSKA,2009-02,225
864,MMPPL,2009-02,198
865,PULAWY,2009-02,198
866,KRUSZWICA,2009-02,189
867,ECHO,2009-02,186
868,KOGENERA,2009-02,182
869,MENNICA,2009-02,170
870,EMPERIA,2009-02,162
871,MOSTALWAR,2009-02,158
872,KOPEX,2009-02,138
873,HTLSTREFA,2009-02,135
874,BANKBPH,2009-02,133
875,BIOTON,2009-02,131
876,NFIEMF,2009-02,131
877,AGORA,2009-02,130
878,ELBUDOWA,2009-02,129
879,SYNTHOS,2009-02,119
880,KETY,2009-02,119
881,TRAKCJA,2009-02,118
882,FARMACOL,2009-02,112
883,MARVIPOL,2009-02,108
884,AMREST,2009-02,106
891,TPSA,2009-03,5474
892,PEKAO,2009-03,4657
893,PKOBP,2009-03,4556
894,PGNIG,2009-03,4229
895,PKNORLEN,2009-03,2165
896,KGHM,2009-03,1944
897,ENEA,2009-03,1338
